"peaks1"	"seqnames"	"start"	"end"	"width"	"strand"	"peakNames"	"peaks2"	"seqnames"	"start"	"end"	"width"	"strand"	"score"	"signalValue"	"pValue"	"qValue"	"peak"	"overlapFeature"	"shortestDistance"
"001"	"1"	46385068	46385880	813	"*"	LH20_HO1_ol_merged__004	"GroupB_HO1_GroupA_LH20_peak_14"	"1"	46385234	46385880	647	"*"	65	3.26976	6.52413	2.00383	109	"overlapStart"	0
"002"	"1"	47246561	47246909	349	"*"	LH20_HO1_ol_merged__005	"GroupB_HO1_GroupA_LH20_peak_15"	"1"	47246647	47246909	263	"*"	61	3.11566	6.13477	1.66697	131	"overlapStart"	0
"003"	"1"	85011136	85011491	356	"*"	LH20_HO1_ol_merged__008	"GroupB_HO1_GroupA_LH20_peak_31"	"1"	85011136	85011406	271	"*"	39	2.06596	3.93204	0.08075	242	"includeFeature"	0
"004"	"1"	86438781	86439390	610	"*"	LH20_HO1_ol_merged__009	"GroupB_HO1_GroupA_LH20_peak_37"	"1"	86438781	86439143	363	"*"	59	3.11406	5.92962	1.48513	329	"includeFeature"	0
"005"	"1"	117169765	117170266	502	"*"	LH20_HO1_ol_merged__015	"GroupB_HO1_GroupA_LH20_peak_56"	"1"	117170019	117170266	248	"*"	59	3.11406	5.92962	1.48513	93	"overlapStart"	0
"006"	"1"	120994406	120994913	508	"*"	LH20_HO1_ol_merged__016	"GroupB_HO1_GroupA_LH20_peak_60"	"1"	120994406	120994913	508	"*"	82	2.6042	8.28505	3.63398	272	"overlap"	0
"007"	"1"	123858539	123859186	648	"*"	LH20_HO1_ol_merged__017	"GroupB_HO1_GroupA_LH20_peak_61"	"1"	123858931	123859186	256	"*"	38	2.36262	3.85418	0.01922	244	"overlapStart"	0
"008"	"1"	125554447	125555144	698	"*"	LH20_HO1_ol_merged__019	"GroupB_HO1_GroupA_LH20_peak_65"	"1"	125554455	125555144	690	"*"	42	2.05508	4.27063	0.24541	504	"overlapStart"	0
"009"	"1"	145471878	145472393	516	"*"	LH20_HO1_ol_merged__021	"GroupB_HO1_GroupA_LH20_peak_78"	"1"	145471878	145472393	516	"*"	39	2.23898	3.98798	0.11019	437	"overlap"	0
"010"	"1"	147285170	147285529	360	"*"	LH20_HO1_ol_merged__022	"GroupB_HO1_GroupA_LH20_peak_79"	"1"	147285175	147285529	355	"*"	72	3.23175	7.27792	2.69234	83	"overlapStart"	0
"011"	"1"	152386212	152386534	323	"*"	LH20_HO1_ol_merged__023	"GroupB_HO1_GroupA_LH20_peak_80"	"1"	152386212	152386534	323	"*"	37	2.49125	3.7663	0	30	"overlap"	0
"012"	"1"	171064361	171064742	382	"*"	LH20_HO1_ol_merged__025	"GroupB_HO1_GroupA_LH20_peak_86"	"1"	171064361	171064742	382	"*"	97	2.32406	9.76243	5.05207	242	"overlap"	0
"013"	"10"	27814070	27815089	1020	"*"	LH20_HO1_ol_merged__029	"GroupB_HO1_GroupA_LH20_peak_104"	"10"	27814643	27815046	404	"*"	38	2.35592	3.83664	0.00556	181	"includeFeature"	43
"014"	"10"	29435766	29436110	345	"*"	LH20_HO1_ol_merged__030	"GroupB_HO1_GroupA_LH20_peak_106"	"10"	29435778	29436054	277	"*"	41	2.34306	4.18041	0.24541	139	"includeFeature"	12
"015"	"10"	32501625	32502322	698	"*"	LH20_HO1_ol_merged__031	"GroupB_HO1_GroupA_LH20_peak_107"	"10"	32501784	32502322	539	"*"	66	2.96928	6.69838	2.16427	136	"overlapStart"	0
"016"	"10"	80249090	80249401	312	"*"	LH20_HO1_ol_merged__033	"GroupB_HO1_GroupA_LH20_peak_120"	"10"	80249097	80249349	253	"*"	62	3.01296	6.25496	1.77458	159	"includeFeature"	7
"017"	"10"	80578338	80578785	448	"*"	LH20_HO1_ol_merged__034	"GroupB_HO1_GroupA_LH20_peak_122"	"10"	80578418	80578785	368	"*"	32	2.33554	3.28464	0	290	"overlapStart"	0
"018"	"10"	100364405	100364874	470	"*"	LH20_HO1_ol_merged__035	"GroupB_HO1_GroupA_LH20_peak_132"	"10"	100364604	100364874	271	"*"	34	1.8012	3.49052	0	225	"overlapStart"	0
