"peaks1"	"seqnames"	"start"	"end"	"width"	"strand"	"peakNames"	"peaks2"	"seqnames"	"start"	"end"	"width"	"strand"	"score"	"signalValue"	"pValue"	"qValue"	"peak"	"overlapFeature"	"shortestDistance"
"001"	"1"	46385068	46385880	813	"*"	LH20_HO1_ol_merged__004	"GroupA_HO1_GroupA_LH20_peak_29"	"1"	46385068	46385821	754	"*"	119	4.41309	11.95421	7.22246	282	"includeFeature"	0
"002"	"1"	47246561	47246909	349	"*"	LH20_HO1_ol_merged__005	"GroupA_HO1_GroupA_LH20_peak_35"	"1"	47246561	47246838	278	"*"	60	3.08917	6.067	1.68964	90	"includeFeature"	0
"003"	"1"	85011136	85011491	356	"*"	LH20_HO1_ol_merged__008	"GroupA_HO1_GroupA_LH20_peak_53"	"1"	85011184	85011491	308	"*"	57	2.33852	5.7927	1.47126	231	"overlapStart"	0
"004"	"1"	86438781	86439390	610	"*"	LH20_HO1_ol_merged__009	"GroupA_HO1_GroupA_LH20_peak_55"	"1"	86439062	86439390	329	"*"	44	2.64786	4.43111	0.42853	76	"overlapStart"	0
"005"	"1"	117169765	117170266	502	"*"	LH20_HO1_ol_merged__015	"GroupA_HO1_GroupA_LH20_peak_81"	"1"	117169765	117170120	356	"*"	66	3.23627	6.65253	2.19891	116	"includeFeature"	0
"006"	"1"	120994406	120994913	508	"*"	LH20_HO1_ol_merged__016	"GroupA_HO1_GroupA_LH20_peak_82"	"1"	120994428	120994901	474	"*"	67	2.34834	6.71299	2.25386	268	"includeFeature"	12
"007"	"1"	123858539	123859186	648	"*"	LH20_HO1_ol_merged__017	"GroupA_HO1_GroupA_LH20_peak_86"	"1"	123858539	123858995	457	"*"	58	2.6918	5.82732	1.5001	361	"includeFeature"	0
"008"	"1"	125554447	125555144	698	"*"	LH20_HO1_ol_merged__019	"GroupA_HO1_GroupA_LH20_peak_90"	"1"	125554447	125554820	374	"*"	46	2.28355	4.60266	0.56564	46	"includeFeature"	0
"009"	"1"	145471878	145472393	516	"*"	LH20_HO1_ol_merged__021	"GroupA_HO1_GroupA_LH20_peak_110"	"1"	145472130	145472383	254	"*"	49	2.47724	4.99021	0.82619	203	"includeFeature"	10
"010"	"1"	147285170	147285529	360	"*"	LH20_HO1_ol_merged__022	"GroupA_HO1_GroupA_LH20_peak_112"	"1"	147285170	147285452	283	"*"	48	2.61275	4.8053	0.71797	74	"includeFeature"	0
"011"	"1"	152386212	152386534	323	"*"	LH20_HO1_ol_merged__023	"GroupA_HO1_GroupA_LH20_peak_113"	"1"	152386233	152386504	272	"*"	60	3.08917	6.067	1.68964	122	"includeFeature"	21
"012"	"1"	171064361	171064742	382	"*"	LH20_HO1_ol_merged__025	"GroupA_HO1_GroupA_LH20_peak_121"	"1"	171064365	171064663	299	"*"	59	1.95597	5.93423	1.59341	135	"includeFeature"	4
"013"	"10"	27814070	27815089	1020	"*"	LH20_HO1_ol_merged__029	"GroupA_HO1_GroupA_LH20_peak_148"	"10"	27814070	27815089	1020	"*"	58	2.6918	5.82732	1.5001	220	"overlap"	0
"014"	"10"	29435766	29436110	345	"*"	LH20_HO1_ol_merged__030	"GroupA_HO1_GroupA_LH20_peak_149"	"10"	29435766	29436110	345	"*"	34	2.09029	3.42816	0	113	"overlap"	0
"015"	"10"	32501625	32502322	698	"*"	LH20_HO1_ol_merged__031	"GroupA_HO1_GroupA_LH20_peak_152"	"10"	32501625	32501967	343	"*"	45	2.40755	4.50153	0.48736	58	"includeFeature"	0
"016"	"10"	80249090	80249401	312	"*"	LH20_HO1_ol_merged__033	"GroupA_HO1_GroupA_LH20_peak_182"	"10"	80249090	80249401	312	"*"	61	2.9821	6.16912	1.78088	103	"overlap"	0
"017"	"10"	80578338	80578785	448	"*"	LH20_HO1_ol_merged__034	"GroupA_HO1_GroupA_LH20_peak_183"	"10"	80578338	80578688	351	"*"	49	2.79496	4.95538	0.79692	254	"includeFeature"	0
"018"	"10"	100364405	100364874	470	"*"	LH20_HO1_ol_merged__035	"GroupA_HO1_GroupA_LH20_peak_191"	"10"	100364405	100364750	346	"*"	69	2.54582	6.96594	2.48396	221	"includeFeature"	0
"019"	"10"	102319665	102320002	338	"*"	LH20_HO1_ol_merged__036	"GroupA_HO1_GroupA_LH20_peak_192"	"10"	102319750	102320002	253	"*"	59	2.97785	5.96833	1.62208	139	"overlapStart"	0
"020"	"10"	121711389	121711899	511	"*"	LH20_HO1_ol_merged__039	"GroupA_HO1_GroupA_LH20_peak_208"	"10"	121711400	121711899	500	"*"	38	2.16821	3.87679	0.12911	12	"overlapStart"	0
"021"	"10"	128493404	128493736	333	"*"	LH20_HO1_ol_merged__041	"GroupA_HO1_GroupA_LH20_peak_214"	"10"	128493419	128493736	318	"*"	60	3.08917	6.067	1.68964	185	"overlapStart"	0
"022"	"11"	16567706	16568188	483	"*"	LH20_HO1_ol_merged__042	"GroupA_HO1_GroupA_LH20_peak_220"	"11"	16567708	16568096	389	"*"	66	3.23627	6.65253	2.19891	308	"includeFeature"	2
"023"	"11"	38249549	38250336	788	"*"	LH20_HO1_ol_merged__045	"GroupA_HO1_GroupA_LH20_peak_230"	"11"	38249871	38250336	466	"*"	41	2.19898	4.19624	0.31446	426	"overlapStart"	0
"024"	"11"	48470331	48470737	407	"*"	LH20_HO1_ol_merged__046	"GroupA_HO1_GroupA_LH20_peak_236"	"11"	48470331	48470676	346	"*"	39	2.27768	3.98779	0.16554	257	"includeFeature"	0
"025"	"11"	55666513	55667023	511	"*"	LH20_HO1_ol_merged__047	"GroupA_HO1_GroupA_LH20_peak_239"	"11"	55666513	55666982	470	"*"	44	2.52297	4.41394	0.42853	8	"includeFeature"	0
"026"	"11"	69118484	69119188	705	"*"	LH20_HO1_ol_merged__048	"GroupA_HO1_GroupA_LH20_peak_247"	"11"	69118484	69119188	705	"*"	60	3.08917	6.067	1.68964	622	"overlap"	0
"027"	"11"	76243861	76244559	699	"*"	LH20_HO1_ol_merged__050	"GroupA_HO1_GroupA_LH20_peak_259"	"11"	76243861	76244162	302	"*"	44	2.64786	4.43111	0.42853	232	"includeFeature"	0
"028"	"11"	79704029	79705113	1085	"*"	LH20_HO1_ol_merged__051	"GroupA_HO1_GroupA_LH20_peak_262"	"11"	79704046	79704346	301	"*"	48	2.48474	4.87369	0.77509	68	"includeFeature"	17
"029"	"11"	87470801	87471639	839	"*"	LH20_HO1_ol_merged__056	"GroupA_HO1_GroupA_LH20_peak_301"	"11"	87470801	87471639	839	"*"	209	5.84604	20.93863	16.07084	605	"overlap"	0
